"Iteration: Iteration","CD Monitor: Force Coefficient"
1,0.34181958275624968
2,0.31650979589186273
3,0.16344501882024556
4,0.1914375923728035
5,0.21829984902645369
6,0.23269088878306157
7,0.23250403168929473
8,0.22701360229581061
9,0.22229793183061744
10,0.21878571611667474
11,0.21581808242154032
12,0.21294958637515671
13,0.20993492054611168
14,0.20665216329087119
15,0.20304528329620944
16,0.19910104054899772
17,0.19482090425669357
18,0.19020608580244863
19,0.18525302306105104
20,0.17996983414736289
21,0.17437462675033086
22,0.16848954124142548
23,0.16235279720132514
24,0.15602422401742122
25,0.14957224611760428
26,0.1430666762623832
27,0.13657473843335338
28,0.13016033464775068
29,0.12387949367491027
30,0.1177785296736919
31,0.1118930622068522
32,0.10624829578664947
33,0.10085826860825389
34,0.095724312353887869
35,0.090841156053439218
36,0.086203167261065028
37,0.081803868806169175
38,0.077642031116092747
39,0.073711932935778587
40,0.070007003361322845
41,0.066519524805511862
42,0.063236146770861965
43,0.060141280235129824
44,0.057226738086059228
45,0.054484787061099965
46,0.051909743990409485
47,0.049496150531672584
48,0.04723330784621025
49,0.045106664113690041
50,0.043097988649820687
51,0.041226919860263188
52,0.039583878529087679
53,0.038000657773939357
54,0.036683693852991986
55,0.035369391417537852
56,0.034050068459610346
57,0.032707545484437328
58,0.031530568824547356
59,0.03030998162276333
60,0.029313095764475289
61,0.028291835657712143
62,0.027258472750780458
63,0.026202069584494388
64,0.025303043714087658
65,0.024395025051774974
66,0.023673710450420011
67,0.022954387788622844
68,0.0223862349610791
69,0.021826799181845109
70,0.021386379096198685
71,0.020959461356976725
72,0.020625015392155693
73,0.020308485356512463
74,0.02006163337124028
75,0.01983664400672059
76,0.01966253427454917
77,0.019514531214914761
78,0.019403204612372264
79,0.019320352072531348
80,0.019262350821705874
81,0.019233659213200929
82,0.019221219423315346
83,0.019238803925853344
84,0.019265928718657933
85,0.019323281235533847
86,0.019385383066138503
87,0.019476327345413311
88,0.019566663039368451
89,0.019680519400836774
90,0.019788789833835932
91,0.019915202662777902
92,0.020032057871965922
93,0.02016231165131863
94,0.020279615663403992
95,0.020409323702784924
96,0.020547599387497614
97,0.020676369778217577
98,0.020811437062204369
99,0.020925867299108447
100,0.021044731246711426
101,0.021165335176388845
102,0.021286370960418011
103,0.021388599406330894
104,0.021488978755110209
105,0.021565817193530838
106,0.021637199754418416
107,0.021704307385756197
108,0.021752914810831844
109,0.02179436961395078
110,0.021819510940324225
111,0.02183431673651437
112,0.021839229851632089
113,0.021833901262063748
114,0.021813853640039644
115,0.021776277900482612
116,0.021718946340482694
117,0.02163974984236133
118,0.021536716559651795
119,0.021407959914161015
120,0.021252411775040683
121,0.02107051434103583
122,0.020865009686796387
123,0.020644100080565296
124,0.020423168509284207
125,0.020204018914558912
126,0.019988351518812598
127,0.019777787299534635
128,0.019573305499788394
129,0.019375835277060834
130,0.019185941235457919
131,0.019003910472260396
132,0.018829759943114081
133,0.018663537315114088
134,0.018505076657623378
135,0.018354309361112084
136,0.018211080446973893
137,0.018075223005879295
138,0.017946488634146218
139,0.017824610453583835
140,0.017709293579493218
141,0.017600270784071254
