"Region: airfoil: Direction [1,0,0] (m)","Region: airfoil: Pressure Coefficient"
0.747927728074949,0.2514442222206268
0.7477005971374575,0.25033822642451764
0.7481406201674778,0.25256857111547304
0.7474549191579493,0.2491484571830783
0.74834322246806,0.25363985093480107
0.7471855471575202,0.24788105824078124
0.746888962759047,0.24655729466999537
0.7485404097937595,0.25473932071959976
0.7465619585824788,0.24511364424163068
0.7462010281376132,0.24361128266143584
0.7487330315838536,0.2557956479238566
0.7458022988009545,0.24196613727652633
0.7453616202815694,0.24025180704493365
0.744336687844771,0.23641294833321874
0.748923741740595,0.2569824007422216
0.7448746051286916,0.2383717317088488
0.7430883626834046,0.23202314304696223
0.7437430737185263,0.23426223926763765
0.7491183038827278,0.25808188241789864
0.7423661564749021,0.22955477228707308
0.7415690854844124,0.22698385386567357
0.7493145637756523,0.25903117688733607
0.7406890663684309,0.22413262709985837
0.7397174390607653,0.22116144775178218
0.7495025993306738,0.2618409824150182
0.7386450383933356,0.21785565362578832
0.7374620182836003,0.21442926064010676
0.749677126318866,0.2644367144367831
0.7499609626017327,0.25245835480854373
0.7498415401747768,0.2725551024559538
0.7361571292319462,0.21060610144965936
0.734716935944877,0.20663945875046422
0.7331255787561495,0.2021904006056843
0.7313653380309088,0.197573520666791
0.7294178503089914,0.19237044366044126
0.7272648953926927,0.18698298868644975
0.7248875805632198,0.18089280418267326
0.7222640706336838,0.17459179537892408
0.7193675920608309,0.16744490316972258
0.7161661825689933,0.1601938151153933
0.7126245000964678,0.1522775315557836
0.708706587976823,0.14390595071773996
0.7043771328543039,0.1349943466264428
0.6996000548437471,0.1255869423999439
0.6943377584626629,0.11573660265853222
0.6885616936413055,0.10549050844816484
0.6823032545600742,0.09491832276737071
0.6755891550798088,0.08426038249828227
0.6684397683861922,0.0736472739824803
0.6610343863227834,0.06336917168819756
0.6535724991600602,0.05379308042210628
0.6461088837267508,0.044882871904329304
0.631411827646585,0.02923610328760069
0.6387246142033354,0.036693330043792834
0.6240130323178651,0.022228314879705408
0.6165441150717289,0.015640868939443442
0.6090770980955535,0.009532123021564034
0.6016041312567262,0.0038397742491407404
0.5941298260942726,-0.0014791592900920642
0.5866542541996075,-0.006465279259126569
0.5791774851840014,-0.0111541399611624
0.5716995861321446,-0.015581818679805761
0.5642206219699859,-0.019783279015990262
0.5567406534897852,-0.023789474344739686
0.549259737022089,-0.027630570124401895
0.5417779264554726,-0.03133479623918296
0.5342952715107001,-0.03492327783605984
0.5268118161456279,-0.038425426962842346
0.5193276009191078,-0.04185540304097672
0.5118426634835533,-0.04526410149277652
0.5044392277359171,-0.04861548762717234
0.4971168235148253,-0.0518847264046094
0.48971160399400115,-0.055210009648758385
0.48222459201501794,-0.05860120605476008
0.4747369780408729,-0.06201407269997438
0.4672482691453804,-0.0654640942226492
0.45975897978739866,-0.06896571792627929
0.452269115018729,-0.07252708391755215
